haversine,delay
0.021357967302956964,1571
0.021357967302956964,698
0.021357967302956964,431
0.020148216291200113,415
0.020148216291200113,136
0.020148216291200113,176
0.020148216291200113,236
0.020148216291200113,323
0.020148216291200113,309
0.020148216291200113,192
0.019364916289426198,273
0.019364916289426198,116
0.019364916289426198,205
0.019364916289426198,172
0.019364916289426198,120
0.019364916289426198,231
0.017957655981122603,181
0.017957655981122603,295
0.017957655981122603,446
0.017957655981122603,229
0.017957655981122603,171
0.014766108362144014,262
0.014766108362144014,191
0.014766108362144014,152
0.014766108362144014,260
0.014766108362144014,225
0.012032665901297328,175
0.012032665901297328,136
0.012032665901297328,108
0.012032665901297328,192
0.012032665901297328,142
0.010625637295820865,142
0.010625637295820865,212
0.010625637295820865,162
0.010625637295820865,103
0.010625637295820865,120
0.011188804253202926,170
0.011188804253202926,299
0.011188804253202926,238
0.011188804253202926,198
0.011188804253202926,124
0.011834664025887037,268
0.011834664025887037,168
0.011834664025887037,160
0.011834664025887037,275
0.011834664025887037,161
0.014094928589353585,172
0.014094928589353585,136
0.014094928589353585,179
0.014094928589353585,194
0.014094928589353585,143
0.013886202861985282,130
0.013886202861985282,129
0.013886202861985282,136
0.013886202861985282,142
0.013886202861985282,199
0.013752051274556804,159
0.013752051274556804,268
0.013752051274556804,229
0.013752051274556804,179
0.013723970773250478,265
0.013635636558533764,233
0.013635636558533764,179
0.013635636558533764,297
0.013635636558533764,252
0.013635636558533764,116
0.013194503066054552,157
0.013194503066054552,109
0.013194503066054552,153
0.013194503066054552,210
0.013194503066054552,128
0.012945636207484628,132
0.012945636207484628,200
0.012945636207484628,164
0.012945636207484628,100
0.012939455615400343,190
0.012631684265662234,132
0.012631684265662234,255
0.012631684265662234,215
0.012631684265662234,161
0.012610578421998812,275
0.012526645296954629,214
0.012526645296954629,146
0.012526645296954629,144
0.012526645296954629,131
0.012526645296954629,151
0.012475171301093073,135
0.012475171301093073,100
0.012475171301093073,199
0.012475171301093073,150
0.012475171301093073,138
0.012540931323469427,165
0.012540931323469427,181
0.012540931323469427,261
0.012540931323469427,124
0.012540931323469427,198
0.012439119545773276,131
0.012439119545773276,258
0.012439119545773276,217
0.012439119545773276,266
0.012439119545773276,296
0.01245123846627569,232
0.01245123846627569,155
0.01245123846627569,125
0.01245123846627569,252
0.01246285351154153,141
0.01246285351154153,163
0.01246285351154153,134
0.01246285351154153,184
0.01246285351154153,180
0.01246285351154153,138
0.01246596146941796,146
0.01246596146941796,189
0.01246596146941796,139
0.01246596146941796,147
0.01246596146941796,224
0.012483873140274517,186
0.012483873140274517,410
0.012483873140274517,253
0.012483873140274517,188
0.012483873140274517,301
0.012328109936536316,263
0.012328109936536316,126
0.012328109936536316,299
0.012328109936536316,135
0.012319158602129968,192
0.012352689303472383,172
0.012352689303472383,146
0.012352689303472383,216
0.012352689303472383,183
0.012370977464121653,129
0.012370977464121653,139
0.012370977464121653,215
0.012370977464121653,136
0.012370977464121653,262
0.012385984100920145,217
0.012385984100920145,203
0.012385984100920145,285
0.012385984100920145,238
0.012385984100920145,190
0.01241553218715413,128
0.01241553218715413,229
0.01241553218715413,169
0.01241553218715413,141
0.01241553218715413,141
0.019423591444686774,114
0.019423591444686774,203
0.019423591444686774,125
0.019423591444686774,240
0.019423591444686774,182
0.03181493875781267,135
0.03181493875781267,150
0.03181493875781267,187
0.03181493875781267,115
0.03181493875781267,273
0.03569082784035954,231
